record_id,date,equipment_tag,inspection_type,standard,result,next_due,remarks
INS-507,2025-04-18,V-201,Internal visual,API-510,PASS,2029-04-18,Absorber shell; no significant metal loss on course 1-3
INS-508,2025-04-19,C-220,Thickness survey,API-510,OBSERVATION,2027-04-19,Bottom head 9.2 mm against 8.0 mm minimum; monitor
INS-509,2025-05-06,P-201,Vibration baseline,OISD-STD-119,PASS,2026-05-06,Overall 2.1 mm/s; within ISO 10816 zone B
INS-510,2025-05-22,R-210,Internal inspection,API-510,PASS,2028-05-22,Reactor internals intact; catalyst screens clean
INS-511,2025-06-30,Piping-U200,Circuit thickness,API-570,PASS,2028-06-30,CML set on 8-inch overhead line; no wall loss
INS-512,2025-07-14,T-301,Shell settlement,API-653,PASS,2030-07-14,Differential settlement within API 653 Annex B
INS-513,2025-07-28,B-401,Hydrostatic test,IBR,PASS,2026-07-28,Steam drum tested at 1.5x MAWP per IBR Reg 383
INS-514,2025-08-11,PSV-301,Pop test,IBR/OISD-STD-132,PASS,2026-08-11,Set pressure 14.0 barg; simmer within 3 percent
INS-515,2025-09-03,E-201,Tube bundle eddy current,API-570,OBSERVATION,2026-09-03,Two tubes plugged; 40 percent wall loss localized
INS-516,2025-10-17,V-301,External visual,OISD-STD-129,PASS,2027-10-17,Flare KO drum; support saddles sound
INS-517,2025-11-09,P-301,Condition monitoring,OISD-STD-119,PASS,2026-11-09,Bearing temperatures nominal; alignment verified
INS-518,2025-12-01,F-201,Firebox inspection,OISD-STD-105,OBSERVATION,2026-06-01,Two tubes bulged near burner 3; scheduled for replacement
