record_id,date,equipment_tag,inspection_type,standard,result,next_due,remarks
INS-801,2024-03-15,R-101,API 510 Pressure Vessel UT,API-510,FAIL,2026-03-15,OVERDUE: UT thickness 34.1 mm (min 32.5 mm); 2-year interval expired
INS-802,2023-06-10,E-201,Tube Eddy Current Testing,TEMA-R,FAIL,2026-06-10,OVERDUE: Shell side scale buildup detected; 3-year interval expired
INS-803,2022-09-20,D-301,Internal Visual & Demister,API-510,PASS,2027-09-20,Demister pad clean; wall thickness normal at 14.2 mm
INS-804,2023-10-05,K-401,Casing UT & Lube Oil Analysis,API-617,PASS,2026-10-05,Lube oil viscosity within spec; bearing clearance 0.08 mm
INS-805,2024-02-18,T-501,Tray & Shell Ultrasonic Test,API-510,PASS,2027-02-18,Sieve trays 1-12 in good condition; no weeping observed
INS-806,2021-05-10,PSV-101,Shop Bench Pop Test,API-526,FAIL,2024-05-10,OVERDUE: 3-year shop bench pop test expired; set point 4.80 MPag
INS-807,2022-08-14,PSV-301,Bench Pop Test,API-526,PASS,2025-08-14,Set pressure 4.30 MPag verified on test bench
INS-808,2023-01-12,PSV-501,Bench Pop Test,API-526,PASS,2026-01-12,Set pressure 2.20 MPag verified; bellows leak tight
INS-809,2024-01-20,HV-901,Positioner Calibration & Packing,ISA-75.01,FAIL,2026-01-20,OVERDUE: Packing gland weep; stroke hysteresis 4.2%
INS-810,2023-04-12,TV-102,Actuator Stroke & Positioner PM,ISA-75.01,FAIL,2025-04-12,OVERDUE: Positioner feedback arm mechanical binding (IR-2026-014)
